SL	Original
Vrnitev	Return
popust na preverjene komplete za zdravje	знижка на перевірені комплекти для здоров'я
Stara cena:	Стара ціна:
Nova cena kompleta iz 4 izdelkov	Нова ціна комплекту з 4-х продуктів
Cena po uporabi vašega bonusa	Ціна після застосування вашого бонусу
Popust se samodejno uporabi ob izbiri programa. Velja 3 dni	Знижка застосовується автоматично при виборі курсу. Діє 3 дні
Spoznajte mnenja naših strank	Ознайомтесь з думками наших клієнтів
Ocene	Reviews
Preberite vse ocene	Читать всі відгуки
Marija	María
Kolena so me začela boleti že pred tremi leti. Po enem mesecu <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>programa »Standard Sklepi«</a> lahko  normalno hodim po stopnicah brez ustavljanja.	Коліна почали боліти ще три роки тому. Після місяця <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курсу \"Стандарт Суглоби\"</a> вже можу нормально ходити по сходах без того щоб зупинятись.
Carlos	Carlos
Hrbet me je bolel ves čas, še posebej zjutraj. Zdaj je veliko bolje, jemal sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>program »Premium Sklepi«</a>. Ne morem reči, da je popolnoma izginilo, vendar je razlika očitna.	Спина боліла постійно, особливо вранці. Зараз значно краще, приймав <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курс \"Преміум Суглоби\"</a>. Не скажу що повністю пройшло але різниця відчутна.
Rosa	Rosa
Rekli so mi, da je to povezano s starostjo in da se ne da nič narediti. Odločila sem se poskusiti sama. Po treh tednih jemanja <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>programa »Standard«</a> se ponoči nisem več zbujala zaradi bolečine.	Мені сказали, що це вікове і нічого не вдієш. Вирішила спробувати сама. Через три тижні прийому <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курсу \"Стандарт\"</a> вже не прокидалась від болю вночі.
Javier	Javier
Ukvarjam se s športom in sklepi so začeli pešati prezgodaj. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>Program »Premium«</a> mi je pomagal, na treningih se počutim veliko bolje.	Займаюсь спортом і суглоби почали здавати раніше часу. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>Курс \"Преміум\"</a> допоміг, відчуваю себе набагато краще на тренуваннях.
Elena	Elena
Prijateljica mi je priporočila, naj poskusim. Bila sem skeptična, vendar sem že po dveh tednih jemanja <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>programa »Standard Sklepi«</a> opazila, da se gibam veliko lažje.	Подруга порадила спробувати. Я скептично поставилась, але вже за два тижні як почала <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курс \"Стандарт Суглоби\"</a> помітила що рухаюсь значно легше.
Lucía	Lucía
Sladkor mi je skakal po vsakem obroku. Po enem mesecu <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>programa »Standard Diabetes«</a> je raven veliko bolj stabilna. Tudi želja po sladkem se je zmanjšala.	Цукор стрибав після кожного прийому їжі. Після місяця <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>курсу \"Стандарт Діабет\"</a> рівень значно рівніший. Менше тягне на солодке теж.
Pedro	Pedro
Stalna šibkost in utrujenost sta me spremljali leta. Opravil sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>program »Premium«</a> 2 meseca. Zdaj imam dovolj energije, da zdržim do konca dneva brez počivanja.	Постійна слабкість і втома були моїми супутниками роками. Пропив <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>курс \"Преміум\"</a>, 2 місяці. Зараз є сили дійти до кінця дня без того щоб лягати відпочивати.
Pilar	Pilar
Spremljam sladkor že sedem let. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Program »Standard«</a> je eden redkih, kjer sem res občutila razliko, ne le prebrala lep opis.	Слідкую за цукром вже сім років. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Курс \"Стандарт\"</a> став один з небагатьох де реально відчула різницю, а не просто прочитала красивий опис.
Ramón	Ramón
Opozorili so me na tveganja, če ne spremenim življenjskega sloga. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Program »Standard Diabetes«</a> mi je pomagal stabilizirati stanje, medtem ko hkrati spreminjam prehrano.	Мене попередили, що є ризики якщо не міняти спосіб життя. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Курс \"Стандарт Діабет\"</a> допоміг стабілізувати стан поки я паралельно змінюю харчування.
Dolores	Dolores
Želja po sladkem je bila neobvladljiva. Po treh tednih <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>programa »Premium Diabetes«</a> sem opazila, da lažje grem mimo slaščičarskega oddelka.	Тяга до солодкого була неконтрольована. Після трьох тижнів <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>курсу \"Преміум Діабет\"</a> помітила що спокійніше проходжу повз кондитерський відділ.
Antonio	Antonio
Pritisk mi je stalno nihal, zlasti zvečer. Po <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>programu »Standard Pritisk«</a> so se vrednosti stabilizirale. Tudi žena je opazila, da sem bolj miren.	Тиск стрибав постійно, особливо ввечері. Після <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курсу \"Стандарт Тиск\"</a> показники стабілізувались. Дружина теж помітила що я спокійніший став.
Carmen	Carmen
Noge so mi do večera tako otekle, da nisem mogla obuti čevljev. Opravila sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>program »Standard«</a>. Zdaj je veliko bolje, oteklina je skoraj izginila.	Ноги набрякали до вечора так що не могла взути взуття. Пропила <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курс \"Стандарт\"</a>. Зараз набагато краще, набряки майже зникли.
Juan	Juan
Glava me je bolela skoraj vsak dan. Že tri tedne me ni bolela niti enkrat. Ne vem, ali je to zaradi <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>programa »Premium Pritisk«</a>, vendar takšnega naključja že dolgo ni bilo.	Голова боліла майже щодня. Вже три тижні як не було жодного разу. Не знаю чи це <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курс \"Преміум Тиск\"</a> так допоміг, але збігу такого не було давно.
Isabel	Isabel
